 "course" , "topic" , "lable" , "dbr_link" , "slide" , "lab" , "lecture" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-1-intro-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-4-NB-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture4" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-2-search-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-8-DL-Winter2020-short.pdf" ,  , "http://focu.io/data#COMP472_lecture8" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-3-adversarial-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Artificial_intelligence" , "Artificial_intelligence" , "http://dbpedia.org/resource/Artificial_intelligence" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab1.pdf" , "http://focu.io/data#COMP472_lab1" , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#GEC_Plessey_Telecommunications" , "GEC_Plessey_Telecommunications" , "http://dbpedia.org/resource/GEC_Plessey_Telecommunications" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#GEC_Plessey_Telecommunications" , "GEC_Plessey_Telecommunications" , "http://dbpedia.org/resource/GEC_Plessey_Telecommunications" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab1.pdf" , "http://focu.io/data#COMP472_lab1" , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Reduced_instruction_set_computer" , "Reduced_instruction_set_computer" , "http://dbpedia.org/resource/Reduced_instruction_set_computer" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Reduced_instruction_set_computer" , "Reduced_instruction_set_computer" , "http://dbpedia.org/resource/Reduced_instruction_set_computer" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-3-adversarial-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Decision_tree" , "Decision_tree" , "http://dbpedia.org/resource/Decision_tree" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Decision_tree" , "Decision_tree" , "http://dbpedia.org/resource/Decision_tree" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-7-ML-2-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture7" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Decision_tree" , "Decision_tree" , "http://dbpedia.org/resource/Decision_tree" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Decision_tree" , "Decision_tree" , "http://dbpedia.org/resource/Decision_tree" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Shoe" , "Shoe" , "http://dbpedia.org/resource/Shoe" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Shoe" , "Shoe" , "http://dbpedia.org/resource/Shoe" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Consciousness" , "Consciousness" , "http://dbpedia.org/resource/Consciousness" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Consciousness" , "Consciousness" , "http://dbpedia.org/resource/Consciousness" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-1-intro-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture1" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Evaluation_function" , "Evaluation_function" , "http://dbpedia.org/resource/Evaluation_function" ,  ,  ,  ,
