 "lab" , "name" , "content" ,
 "http://focu.io/data#COMP474_lab1" , "COMP474_Lab_1" , "https://moodle.concordia.ca/moodle/mod/page/view.php?id=2608092" ,
 "http://focu.io/data#COMP474_lab2" , "COMP474_Lab_2" , "https://moodle.concordia.ca/moodle/mod/page/view.php?id=2575768" ,
